location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
JPN,1,3532422.477012723,179.83525000000003,36939.296650570584,307.052275,3569361.7736632936,486.88752500000004,7330.978080950612,0.010457213680117101,1.7074087254862433
JPN,2,3497280.477012723,179.83525000000003,36939.296650570584,307.052275,3534219.7736632936,486.88752500000004,7258.801247091499,0.010562291727348981,1.7074087254862433
JPN,3,3516056.5490547484,209.61805000000004,76043.32751024651,359.4765550000001,3592099.876564995,569.0946050000001,6311.955595792362,0.021627447240770314,1.7149122177217087
JPN,4,3480714.5490547484,209.61805000000004,76041.73667943352,359.4765550000001,3556756.2857341818,569.0946050000001,6249.850647827141,0.021846587994434664,1.7149122177217087
JPN,5,3445372.5490547484,209.61805000000004,75998.15530797004,359.4765550000001,3521370.7043627184,569.0946050000001,6187.671915046037,0.0220580370412542,1.7149122177217087
JPN,6,3413310.5490547484,209.61805000000004,76043.37770592152,359.4765550000001,3489353.92676067,569.0946050000001,6131.412767057718,0.022278482022967495,1.7149122177217087
JPN,7,3415426.5384788127,221.608812105,91786.93208579687,380.5829341855,3507213.4705646094,602.1917462905,5824.080937955457,0.026874222312120815,1.717363721101383
JPN,8,3798847.0477229543,294.75250000000005,62013.35642744165,516.1147500000002,3860860.404150396,810.8672500000002,4761.396398917819,0.016324257241315553,1.7510105936336422
JPN,9,3865089.042196583,316.435,66763.50843377199,555.5605,3931852.550630355,871.9955,4509.028487681822,0.017273472280946306,1.7556860018645222
JPN,10,4147707.2140120883,421.91575000000006,203268.12382542918,741.2298250000001,4350975.337837517,1163.1455750000002,3740.6971503438135,0.04900734630900029,1.7568195190627514
JPN,11,4355628.8322457895,506.36121479250045,267651.6670004446,887.9529778347508,4623280.499246234,1394.3141926272513,3315.8096817007713,0.06144960402019419,1.7535959546163526
JPN,12,4997150.538300798,707.266,530458.8066896062,1246.0686,5527609.344990404,1953.3346000000001,2829.83230061578,0.10615225669586897,1.76181040796532
JPN,13,4996950.538300798,708.266,509008.25600960606,1249.1086,5505958.794310404,1957.3746,2812.9305419158927,0.10186377713930568,1.763615082469016
KOR,0,2706360.3964595147,159.18621475750004,100308.54180322686,218.17268356950007,2806668.9382627415,377.35889832700013,7437.6646495046325,0.037064000025440594,1.370550106376098
KOR,1,2707775.7100448986,197.74201022250008,110630.83032265765,280.4335909825001,2818406.5403675563,478.1756012050002,5894.082703645241,0.040856718638938985,1.4181791247441813
KOR,2,2722644.3822737336,275.4091157175001,122310.6406988234,404.5341794905002,2844955.022972557,679.9432952080003,4184.1062968379765,0.04492347274405311,1.4688481840428613
KOR,3,2775102.433110678,357.3582,177510.9902183592,541.2859450000001,2952613.423329037,898.6441450000001,3285.631403439497,0.06396556325287889,1.5146873501153746
KOR,4,2788570.090910173,451.69808651250014,179211.36538676388,690.2051174537502,2967781.456296937,1141.9032039662502,2598.978132287167,0.06426640161240141,1.5280231155786614
KOR,5,2772766.485240751,468.1342000000001,179590.3494748395,715.3187450000001,2952356.8347155903,1183.4529450000002,2494.6972730847274,0.06476937399192713,1.5280206936387046
KOR,6,2768545.5323223,473.60185855,192906.49130556255,725.8466184987501,2961452.023627863,1199.4484770487502,2469.011450091239,0.06967791898432298,1.532609311798382
KOR,7,2739775.9928223,473.60185855,192906.49130556255,725.8466184987501,2932682.484127863,1199.4484770487502,2445.0258099820553,0.07040958524015883,1.532609311798382
KOR,8,2786067.3112954386,487.61122998,218435.92055761642,754.2272067155002,3004503.231853055,1241.8384366955001,2419.3994509043864,0.07840295877706206,1.5467798121598548
KOR,9,2757689.344495439,487.61122998,218447.96817059576,754.2272067155002,2976137.312666035,1241.8384366955001,2396.5575752232785,0.07921413215256998,1.5467798121598548
KOR,10,2801456.094202163,503.255668,255762.1128664672,784.3502773,3057218.2070686305,1287.6059453,2374.3430342396623,0.0912961346764589,1.5585522969211745
KOR,11,2772927.214202163,503.255668,258075.9941464672,784.3502773,3031003.20834863,1287.6059453,2353.983545518994,0.09306987678027524,1.5585522969211745
KOR,12,2785377.2691469565,511.9344263700001,279039.95667910133,801.0610629882501,3064417.2258260576,1312.9954893582503,2333.9129880208848,0.10018030942162441,1.5647727945713188
KOR,13,2801319.824629603,521.23947802,301516.7610603744,818.9777645845002,3102836.5856899773,1340.2172426045001,2315.174351629819,0.10763382260368705,1.5712120802812175
ROE,0,4388002.237403446,2222.90536,91091.52137400632,42.787056,4479093.758777453,2265.6924160000003,1976.9204889184093,0.020759224003474703,0.01924825805449495
ROE,1,4379259.3785969885,2255.6758382384,98917.1884401395,50.585733312000016,4478176.567037128,2306.2615715504003,1941.747034368978,0.02258765236048435,0.022425976487608086
ROE,2,4357970.761544728,2307.0635650000004,118868.02751136897,57.143799599999994,4476838.789056096,2364.2073646000003,1893.5897316323314,0.027276003905366948,0.024769061618811525
ROE,3,4550054.264933863,2434.316885,133780.21475497982,71.098264,4683834.479688843,2505.4151490000004,1869.4843772930512,0.02940189434354458,0.02920665934583122
ROE,4,4676094.859899049,2502.2006250000004,165630.4276546476,81.226569,4841725.287553696,2583.4271940000003,1874.148146616473,0.035420673150805874,0.03246205287795417
ROE,5,4708094.086781323,2637.8014489008,192104.1010313311,97.59188599999999,4900198.187812654,2735.3933349008003,1791.40532562216,0.04080294435293722,0.03699743437500482
ROE,6,4736141.062061805,2701.7500269936,226841.58843517074,114.889706,4962982.650496976,2816.6397329936,1762.0225236339281,0.047895868273910486,0.042524180568934686
ROE,7,4791469.508364609,2789.6903560160004,256114.47559065928,138.718556,5047583.983955269,2928.408912016,1723.6609147184872,0.05345217686214066,0.04972543124754036
ROE,8,5284599.529101087,2983.4875421942,300894.68197317555,164.8035084725,5585494.211074262,3148.2910506667004,1774.1352756732722,0.05693802913848382,0.05523854420095737
ROE,9,5920309.68658771,3253.7704795184,357545.21932966413,194.04176582,6277854.905917374,3447.8122453384,1820.8227302415676,0.06039299264017767,0.059635972187171815
ROE,10,6926246.56768472,3937.526254239999,419805.294202728,238.64133812499998,7346051.8618874485,4176.167592364999,1759.0414415642063,0.060610792598892266,0.060606919856858524
ROE,11,7067994.605133934,4123.276517005999,482007.4747626548,278.917728125,7550002.079896589,4402.194245131,1715.0542796350226,0.06819578985141586,0.0676446818384929
ROE,12,8022624.404122361,4596.078517524501,564264.5055253082,331.99673769375005,8586888.90964767,4928.075255218251,1742.4427316841734,0.07033415464836736,0.07223478372440147
ROE,13,11094812.506117867,5913.1244549455005,733764.7498808288,403.27360243125,11828577.255998695,6316.39805737675,1872.6776160321974,0.06613584046384006,0.06819974879675805
ROW,0,4891465.4452818055,430.9745818304999,115042.29364883258,138.36205897375,5006507.738930638,569.3366408042499,8793.580774738828,0.023518983203653154,0.3210445924353077
ROW,1,5040548.546567166,653.0430476000001,142793.1194798684,183.90305144,5183341.666047035,836.9460990400001,6193.160673061823,0.028328884874468024,0.28160938565361426
ROW,2,5008143.151650685,664.5563244000002,168888.23716981304,205.53627376000003,5177031.388820498,870.0925981600003,5949.977507874973,0.0337227255802677,0.3092834515502806
ROW,3,5012593.434507039,677.6624060000001,199241.49178651933,230.69955192799995,5211834.926293558,908.361957928,5737.619107455695,0.039748185124077115,0.3404343370465793
ROW,4,5017383.003911833,692.5749976000002,234402.93869064475,259.848889632,5251785.942602478,952.4238872320002,5514.126654115721,0.04671816732106978,0.3751924203623604
ROW,5,5122018.242922543,925.5755316359998,275001.2320688668,292.27321829800013,5397019.474991409,1217.848749934,4431.6007839921795,0.053690014175341055,0.31577457301771256
ROW,6,5463678.36644393,1188.9096918495,316786.7996922074,262.62069126399996,5780465.166136137,1451.5303831135,3982.324609518107,0.0579804992983857,0.22089204341118637
ROW,7,5848208.630231972,1459.3349884914996,365671.18248139945,303.14653726399996,6213879.812713372,1762.4815257554997,3525.64252272077,0.06252704128766605,0.20772923259885626
ROW,8,6265718.976882746,1672.334178875,375728.263581625,311.484,6641447.240464372,1983.8181788749998,3347.810455205456,0.05996570624502431,0.1862570315997124
ROW,9,7065637.129959821,1954.6595878624998,434063.0877361666,359.8443958,7499700.217695988,2314.5039836624996,3240.3055992275154,0.06143297196733268,0.184095685015673
ROW,10,7959135.29635351,2358.2836431999995,494462.5943810102,409.91644264,8453597.89073452,2768.2000858399997,3053.8247339766654,0.06212516510525321,0.17381982181065236
ROW,11,10494513.903285662,3909.7911376124994,552951.9056899458,458.4049104799999,11047465.808975607,4368.196048092499,2529.0682211481344,0.05268961581125025,0.11724537049309577
ROW,12,11650324.546040077,4870.4251090375,629771.207292025,522.0892,12280095.7533321,5392.5143090375,2277.248617171301,0.05405610846318294,0.10719581726679624
ROW,13,12664411.951350398,5952.599572212499,658586.5825154836,545.97755436,13322998.533865882,6498.577126572499,2050.1408653578205,0.052002934289046,0.09172086039663974
USA,0,4071481.255791453,1044.4074,714643.2521526787,405.741,4786124.507944132,1450.1484,3300.437739988633,0.17552414152371176,0.388489204500083
USA,1,4093669.5772961634,1090.0347107136,866839.1211450866,415.915975392,4960508.69844125,1505.9506861056,3293.9383368981116,0.21175112079212485,0.3815621386219135
USA,2,4255473.481781009,1262.1444874800004,1076827.290179152,447.2108106,5332300.771960161,1709.3552980800005,3119.4806474403317,0.2530452356921929,0.35432616078124446
USA,3,4236080.730205558,1269.4080000000001,1270878.4544539053,451.53540399999997,5506959.184659463,1720.943404,3199.965304994692,0.3000128032008104,0.3557054973657011
USA,4,4571182.500875827,1448.710454166,1528622.3482764116,484.54582277,6099804.849152239,1933.2562769360002,3155.197229629464,0.33440413896919047,0.33446698847006345
USA,5,4817682.563253791,1584.9264954900002,1740239.4861988889,510.74008155,6557922.04945268,2095.6665770400004,3129.2773961759412,0.361219209308709,0.3222484342354932
USA,6,5031772.034101619,1708.9800523260003,1997379.4963205303,535.2513449700001,7029151.530422149,2244.2313972960005,3132.097491769939,0.39695349526643364,0.31319929348590025
USA,7,5269389.530098626,1843.950330054,2272417.395089628,561.9196011299999,7541806.925188255,2405.869931184,3134.752559743206,0.43124870198144105,0.3047368424037453
USA,8,5388936.226981113,1920.065536452,2539678.22594468,579.25377994,7928614.452925793,2499.319316392,3172.3095168053537,0.4712763556616461,0.30168437948757526
USA,9,5359243.177181113,1920.065536452,2729842.6085571465,584.4374229399999,8089085.78573826,2504.502959392,3229.816820700419,0.5093709164346981,0.3043841013989318
