technology,edge,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Nickel_transport,JPN-CHN,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CHN,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CHN,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CHN,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CHN,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CHN,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CHN,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CHN,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-CZE,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-DEU,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-ITA,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-ITA,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,JPN-ITA,2,0.0,0.0,0.0,0.0,0.0
